t,state,attacker_action,defender_action,UD,UA,SAP,SAL,DC,ASSC,NC,AIC,AS_success,is_absorbing,power_W,q_vec,p_vec,td_loss,entropy
656,p2_s3,destroy,iphop,5.1292615527827365,4.3668112180658625,5.670865174070148,4.8668112180658625,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
657,p2_s3,lateral,iphop,5.173159720089357,4.510698680136559,5.696035299438414,5.1606986801365595,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
658,p2_s3,destroy,iphop,5.3317369027031525,4.040444118596673,5.847965049094117,4.540444118596673,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
659,p2_s3,destroy,iphop,5.020199162608205,4.548526880129449,5.547972104226803,5.048526880129449,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
660,p2_s3,destroy,iphop,5.117493789768776,4.917298803185911,5.664389523309995,5.417298803185911,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
661,p2_s3,destroy,iphop,5.103608231145551,4.072740377532644,5.659623346599998,4.572740377532644,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
662,p2_s3,destroy,iphop,5.337928262806114,4.260925371854557,5.884675032489556,4.760925371854557,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
663,p2_s3,lateral,iphop,4.969588485056349,4.266012425040572,5.497200455643249,4.916012425040573,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
664,p2_s3,destroy,iphop,5.105469273530689,4.323289041041871,5.621672437740224,4.823289041041871,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
665,p2_s3,destroy,iphop,5.512629792046602,4.365370151393071,6.035639346566892,4.865370151393071,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
666,p2_s3,destroy,iphop,5.33686799248635,4.252008732783637,5.878641370143084,4.752008732783637,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
667,p2_s3,destroy,iphop,5.13349835594361,3.9419601122949133,5.688741617104633,4.441960112294914,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
668,p2_s3,lateral,iphop,5.100179688655857,4.185460530170703,5.651214744914722,4.835460530170703,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
669,p2_s3,destroy,iphop,5.4425469802719775,4.1018664044973,5.97556474740215,4.6018664044973,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
670,p2_s3,destroy,iphop,5.222123524202516,4.387204590432809,5.739879930511395,4.887204590432809,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
