state,case,dominant_strategy,iteration,probability
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,75,0.9758230478713544
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,76,0.9764774484123919
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,77,0.9771131409773698
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,78,0.9777306932836826
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,79,0.9783306551613287
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,80,0.978913559095596
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,81,0.9794799207572704
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,82,0.9800302395202579
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,83,0.9805649989665469
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,84,0.9810846673784896
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,85,0.9815896982184107
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,86,0.9820805305955883
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,87,0.9825575897206842
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,88,0.9830212873477225
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,89,0.9834720222037439
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,90,0.9839101804062806
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,91,0.9843361358688207
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,92,0.9847502506944379
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,93,0.9851528755577867
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,94,0.9855443500756687
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,95,0.9859250031663848
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,96,0.9862951533981024
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,97,0.9866551093264707
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,98,0.9870051698217166
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,99,0.9873456243854705
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,100,0.9876767534575628
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,101,0.9879988287130412
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,102,0.9883121133496551
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,103,0.9886168623660563
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,104,0.988913322830967
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,105,0.9892017341435589
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,106,0.98948232828529
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,107,0.9897553300634429
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,108,0.9900209573466032
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,109,0.9902794212923169
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,110,0.9905309265671608
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,111,0.9907756715594518
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,112,0.991013848584826
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,113,0.991245644084906
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,114,0.9914712388192729
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,115,0.9916908080509577
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,116,0.9919045217256567
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,117,0.9921125446448756
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,118,0.9923150366331992
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,119,0.992512152699879
S1,"q0=[0.8,0.1,0.1] → ASD1_IPHop",ASD1_IPHop,120,0.9927040431949277
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,1,0.8
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,2,0.794312917790445
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,3,0.7884783524336413
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,4,0.7824941071714324
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,5,0.7763581415765323
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,6,0.7700685907555218
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,7,0.7636237844450212
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,8,0.7570222659239741
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,9,0.7502628106743009
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,10,0.7433444447264871
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,11,0.7362664626265185
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,12,0.7290284449566365
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,13,0.7216302753355442
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,14,0.7140721568147443
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,15,0.706354627577502
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,16,0.6984785758362186
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,17,0.6904452538134674
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,18,0.6822562906821689
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,19,0.6739137043318705
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,20,0.6654199118212757
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,21,0.6567777383724024
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,22,0.6479904247593334
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,23,0.639061632944686
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,24,0.629995449819853
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,25,0.620796388910898
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,26,0.611469389920758
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,27,0.602019815990186
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,28,0.5924534485745605
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,29,0.5827764798512599
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,30,0.5729955025925272
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,31,0.5631174974614828
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,32,0.5531498177138439
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,33,0.5431001713146826
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,34,0.5329766005077908
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,35,0.522787458904477
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,36,0.5125413861884175
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,37,0.502247280563007
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,38,0.49191426909693753
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,39,0.48155167615195404
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,40,0.4711689901033146
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,41,0.46077582858788824
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,42,0.45038190253655397
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,43,0.4399969792661464
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,44,0.42963084492121895
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,45,0.4192932665670286
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,46,0.40899395424211893
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,47,0.39874252328152493
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,48,0.388548457219848
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,49,0.3784210715772848
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,50,0.3683694788212285
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,51,0.3584025547815132
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,52,0.34852890677901804
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,53,0.3387568437055622
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,54,0.32909434826823675
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,55,0.3195490515840218
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,56,0.3101282102812689
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,57,0.300838686233936
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,58,0.2916869290229319
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,59,0.28267896118711433
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,60,0.27382036629495154
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,61,0.2651162798371235
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,62,0.2565713829108826
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,63,0.24818989863925103
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,64,0.23997559124247217
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,65,0.23193176765586812
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,66,0.2240612815676238
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,67,0.2163665397321944
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,68,0.2088495104001283
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,69,0.20151173369314504
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,70,0.19435433374430075
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,71,0.18737803241692558
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,72,0.18058316441261957
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,73,0.17396969357777248
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,74,0.1675372302196383
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,75,0.16128504924671963
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,76,0.15521210895386262
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,77,0.14931707027977106
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,78,0.14359831637336726
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,79,0.13805397231529198
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,80,0.1326819248516029
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,81,0.1274798420081556
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,82,0.12244519246600949
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,83,0.11757526459028561
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,84,0.11286718501702446
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,85,0.10831793671458288
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,86,0.1039243764478243
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,87,0.09968325158466748
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,88,0.0955912161953701
S1,"q0=[0.1,0.8,0.1] → ASD1+ASD3_IP+ProtoHop",ASD1+ASD3_IP+ProtoHop,89,0.09164484640514302
