mode,metric,iteration,value,dominant_strategy
bounded,max_p,110,0.9866114944072775,ASD1_IPHop
bounded,max_p,111,0.9870527378928766,ASD1_IPHop
bounded,max_p,112,0.9874791660838697,ASD1_IPHop
bounded,max_p,113,0.9878912923784716,ASD1_IPHop
bounded,max_p,114,0.9882896114417725,ASD1_IPHop
bounded,max_p,115,0.9886745999448893,ASD1_IPHop
bounded,max_p,116,0.9890467172717499,ASD1_IPHop
bounded,max_p,117,0.9894064061951057,ASD1_IPHop
bounded,max_p,118,0.9897540935232687,ASD1_IPHop
bounded,max_p,119,0.9900901907189991,ASD1_IPHop
bounded,max_p,120,0.9904150944918874,ASD1_IPHop
full,max_q,1,0.3333333333333333,ASD1_IPHop
full,max_q,2,0.34868886058044174,ASD1_IPHop
full,max_q,3,0.3642480151521357,ASD1_IPHop
full,max_q,4,0.3799775282331886,ASD1_IPHop
full,max_q,5,0.39584324698825896,ASD1_IPHop
full,max_q,6,0.41181044785188825,ASD1_IPHop
full,max_q,7,0.42784415347199584,ASD1_IPHop
full,max_q,8,0.4447012380080961,ASD1_IPHop
full,max_q,9,0.4615795569194395,ASD1_IPHop
full,max_q,10,0.47843247193984556,ASD1_IPHop
full,max_q,11,0.49521590699651763,ASD1_IPHop
full,max_q,12,0.5118883813690412,ASD1_IPHop
full,max_q,13,0.5284110858959119,ASD1_IPHop
full,max_q,14,0.5447479715163218,ASD1_IPHop
full,max_q,15,0.5608658310746931,ASD1_IPHop
full,max_q,16,0.5767343626024914,ASD1_IPHop
full,max_q,17,0.5923262071736363,ASD1_IPHop
full,max_q,18,0.6076169578573014,ASD1_IPHop
full,max_q,19,0.6225851387604777,ASD1_IPHop
full,max_q,20,0.6372121549386419,ASD1_IPHop
full,max_q,21,0.6514822152229881,ASD1_IPHop
full,max_q,22,0.6653822308772951,ASD1_IPHop
full,max_q,23,0.6789016935370664,ASD1_IPHop
full,max_q,24,0.6920325361617405,ASD1_IPHop
full,max_q,25,0.704768980801058,ASD1_IPHop
full,max_q,26,0.7171073768854118,ASD1_IPHop
full,max_q,27,0.729046033537792,ASD1_IPHop
full,max_q,28,0.7405850491070886,ASD1_IPHop
full,max_q,29,0.7517261407693187,ASD1_IPHop
full,max_q,30,0.7624724766601714,ASD1_IPHop
full,max_q,31,0.7728285126098079,ASD1_IPHop
full,max_q,32,0.7827998351653705,ASD1_IPHop
full,max_q,33,0.7923930122203734,ASD1_IPHop
