omega,iteration,??=0.2,dominant_strategy,,,,??=0.5,,,,,??=0.9,
0.2,76,0.591188452,ASD1_IPHop,,0.5,76,0.732103495,ASD1_IPHop,,0.9,76,0.951228726,ASD1_IPHop
0.2,77,0.594380021,ASD1_IPHop,,0.5,77,0.736183793,ASD1_IPHop,,0.9,77,0.9531626,ASD1_IPHop
0.2,78,0.597558295,ASD1_IPHop,,0.5,78,0.740216161,ASD1_IPHop,,0.9,78,0.955020429,ASD1_IPHop
0.2,79,0.600723094,ASD1_IPHop,,0.5,79,0.744200606,ASD1_IPHop,,0.9,79,0.956805131,ASD1_IPHop
0.2,80,0.603874245,ASD1_IPHop,,0.5,80,0.748137163,ASD1_IPHop,,0.9,80,0.958519525,ASD1_IPHop
0.2,81,0.607011576,ASD1_IPHop,,0.5,81,0.752025885,ASD1_IPHop,,0.9,81,0.960166323,ASD1_IPHop
0.2,82,0.610134925,ASD1_IPHop,,0.5,82,0.755866853,ASD1_IPHop,,0.9,82,0.961748142,ASD1_IPHop
0.2,83,0.613244129,ASD1_IPHop,,0.5,83,0.759660164,ASD1_IPHop,,0.9,83,0.963267501,ASD1_IPHop
0.2,84,0.616339036,ASD1_IPHop,,0.5,84,0.763405941,ASD1_IPHop,,0.9,84,0.964726828,ASD1_IPHop
0.2,85,0.619419493,ASD1_IPHop,,0.5,85,0.767104324,ASD1_IPHop,,0.9,85,0.96612846,ASD1_IPHop
0.2,86,0.622485356,ASD1_IPHop,,0.5,86,0.770755472,ASD1_IPHop,,0.9,86,0.967474646,ASD1_IPHop
0.2,87,0.625536483,ASD1_IPHop,,0.5,87,0.774359564,ASD1_IPHop,,0.9,87,0.968767553,ASD1_IPHop
0.2,88,0.628572739,ASD1_IPHop,,0.5,88,0.777916795,ASD1_IPHop,,0.9,88,0.970009263,ASD1_IPHop
0.2,89,0.631593993,ASD1_IPHop,,0.5,89,0.781427379,ASD1_IPHop,,0.9,89,0.971201783,ASD1_IPHop
0.2,90,0.634600116,ASD1_IPHop,,0.5,90,0.784891545,ASD1_IPHop,,0.9,90,0.972347041,ASD1_IPHop
0.2,91,0.637590988,ASD1_IPHop,,0.5,91,0.788309536,ASD1_IPHop,,0.9,91,0.973446894,ASD1_IPHop
0.2,92,0.640566491,ASD1_IPHop,,0.5,92,0.791681612,ASD1_IPHop,,0.9,92,0.974503125,ASD1_IPHop
0.2,93,0.643526512,ASD1_IPHop,,0.5,93,0.795008045,ASD1_IPHop,,0.9,93,0.975517452,ASD1_IPHop
0.2,94,0.646470942,ASD1_IPHop,,0.5,94,0.798289122,ASD1_IPHop,,0.9,94,0.976491524,ASD1_IPHop
0.2,95,0.649399678,ASD1_IPHop,,0.5,95,0.801525142,ASD1_IPHop,,0.9,95,0.977426928,ASD1_IPHop
0.2,96,0.652312619,ASD1_IPHop,,0.5,96,0.804716415,ASD1_IPHop,,0.9,96,0.978325189,ASD1_IPHop
0.2,97,0.655209672,ASD1_IPHop,,0.5,97,0.807863263,ASD1_IPHop,,0.9,97,0.979187774,ASD1_IPHop
0.2,98,0.658090744,ASD1_IPHop,,0.5,98,0.810966017,ASD1_IPHop,,0.9,98,0.980016092,ASD1_IPHop
0.2,99,0.66095575,ASD1_IPHop,,0.5,99,0.814025021,ASD1_IPHop,,0.9,99,0.980811497,ASD1_IPHop
0.2,100,0.663804608,ASD1_IPHop,,0.5,100,0.817040626,ASD1_IPHop,,0.9,100,0.981575291,ASD1_IPHop
0.2,101,0.666637239,ASD1_IPHop,,0.5,101,0.820013191,ASD1_IPHop,,0.9,101,0.982308725,ASD1_IPHop
0.2,102,0.66945357,ASD1_IPHop,,0.5,102,0.822943085,ASD1_IPHop,,0.9,102,0.983013,ASD1_IPHop
