t,state,attacker_action,defender_action,UD,UA,SAP,SAL,DC,ASSC,NC,AIC,AS_success,is_absorbing,power_W,q_vec,p_vec,td_loss,entropy
24,S0,lateral_ssh,microseg_acl,-14.187446227117608,10.360505868439287,0.0,4.199204037853274,4.22274920388666,2.0285137026699402,0.4657217985467794,1.230411034250867,1,0,,"[0.3348593675548569, 0.32308365831793706, 0.34205697412720615]","[0.2901871431399903, 0.1888332907872962, 0.5209795660727136]",,
25,S0,lateral_ssh,microseg_acl,-14.187500631470781,10.375408486268032,0.0,4.209688695912252,4.2228036082398335,2.028544356554323,0.4657148951311868,1.2304303545519435,1,0,,"[0.3348129690325084, 0.3231635254956426, 0.34202350547184907]","[0.2876057340736851, 0.18401525076408465, 0.5283790151622303]",,
26,S0,lateral_ssh,microseg_acl,-14.187456876230154,10.390430731939773,0.0,4.220362771229279,4.222759852999205,2.0285197106970356,0.4657204316051339,1.2304148110190063,1,0,,"[0.334850769960746, 0.3230991134097731, 0.34205011662948087]","[0.284978778698607, 0.1792806045207348, 0.5357406167806582]",,
27,S0,lateral_ssh,microseg_acl,-14.187492076703585,10.405107967061348,0.0,4.2306911592682495,4.222795053472637,2.028539532055879,0.465715989360879,1.2304273193204092,1,0,,"[0.33481999565591286, 0.32315106584939285, 0.34202893849469435]","[0.2823087079324682, 0.17462963028299291, 0.5430616617845389]",,
28,S0,lateral_ssh,microseg_acl,-14.187463750990958,10.41980708698358,0.0,4.241100148671791,4.222766727760011,2.028523586290154,0.46571955517970365,1.2304172511131104,1,0,,"[0.33484503304909097, 0.3231091593606711, 0.34204580759023795]","[0.279597995221873, 0.17006266750484933, 0.5503393372732777]",,
29,S0,lateral_ssh,microseg_acl,-14.187486550184598,10.43422529782183,0.0,4.251241602351209,4.222789526953648,2.028536417620237,0.465716691713175,1.2304253570662367,1,0,,"[0.33482467529526366, 0.3231429651223677, 0.3420323595823687]","[0.27684907315242363, 0.1655798454226519, 0.5575710814249245]",,
30,S0,lateral_ssh,microseg_acl,-14.18746819506234,10.448600020296512,0.0,4.2613919021587305,4.222771171831392,2.0285260898948274,0.46571899204173717,1.23041882955682,1,0,,"[0.33484121900383107, 0.3231156921881229, 0.34204308880804596]","[0.2740643952517658, 0.16118130240857662, 0.5647543023396576]",,
31,S0,lateral_ssh,microseg_acl,-14.187482975507567,10.462733504401259,0.0,4.271324186313763,4.222785952276621,2.0285344044155513,0.465717143445518,1.2304240870191796,1,0,,"[0.33482778150756065, 0.3231376962280784, 0.34203452226436093]","[0.27124637625216924, 0.1568670159288584, 0.5718866078189724]",,
32,S0,lateral_ssh,microseg_acl,-14.18747107120661,10.476779356706382,0.0,4.28121773063154,4.222774047975662,2.0285277092309633,0.4657186295137353,1.230419851718547,1,0,,"[0.3348386910015505, 0.32311994206130656, 0.34204136693714293]","[0.2683974343396383, 0.15263694174406056, 0.5789656239163011]",,
33,S0,lateral_ssh,microseg_acl,-14.187480660807417,10.490608152304029,0.0,4.290924484471886,4.222783637576468,2.0285331015350003,0.4657174345064681,1.2304232641682036,1,0,,"[0.3348298376398265, 0.32313426801407025, 0.3420358943461032]","[0.2655199486894938, 0.14849090810727333, 0.5859891432032328]",,
34,S0,lateral_ssh,microseg_acl,-14.187472934501706,10.504319221085948,0.0,4.300560773736075,4.2227759112707615,2.028528757765715,0.46571839573933066,1.2304205142670217,1,0,,"[0.33483701962037243, 0.32312270768328183, 0.3420402726963457]","[0.26261628780869417, 0.14442870435461047, 0.5929550078366953]",,
35,S0,lateral_ssh,microseg_acl,-14.187479160554659,10.517827681922986,0.0,4.3100298590913395,4.22278213732371,2.028532257492572,0.46571762233856695,1.2304227305844742,1,0,,"[0.3348311955534442, 0.323132036763766, 0.3420367676827898]","[0.2596887794975449, 0.14045001569046417, 0.599861204811991]",,
36,S0,lateral_ssh,microseg_acl,-14.187474142695525,10.531197724444656,0.0,4.319407245977373,4.222777119464575,2.0285294373479035,0.4657182447687679,1.2304209440704792,1,0,,"[0.3348359169131421, 0.3231245079305496, 0.34203957515630845]","[0.25673972950347423, 0.13655447990390596, 0.6067057905926199]",,
37,S0,lateral_ssh,microseg_acl,-14.187478187377158,10.544373582773911,0.0,4.328629668095898,4.222781164146209,2.028531710212766,0.46571774372067687,1.2304223843151827,1,0,,"[0.33483209062384317, 0.32313058417599466, 0.3420373252001622]","[0.2537714003328986, 0.13274164772829483, 0.6134869519388066]",,
38,S0,lateral_ssh,microseg_acl,-14.187474926711797,10.557396718910912,0.0,4.337746166058496,4.222777903480849,2.0285298781670638,0.465718147146721,1.2304212230867329,1,0,,"[0.3348351906752615, 0.32312568006402304, 0.3420391292607154]","[0.2507860232855105, 0.12901101952373567, 0.6202029571907539]",,
39,S0,lateral_ssh,microseg_acl,-14.187477555648888,10.570230456617768,0.0,4.346715358020888,4.22278053241794,2.028531355081122,0.46571782225569525,1.2304221594555338,1,0,,"[0.3348326796569783, 0.32312963829945346, 0.34203768204356816]","[0.24778578353349687, 0.12536202170406152, 0.6268521947624416]",,
40,S0,lateral_ssh,microseg_acl,-14.187475435811399,10.582901588369413,0.0,4.3555691414884965,4.2227784125804515,2.0285301643151064,0.4657180839502393,1.2304214043273047,1,0,,"[0.33483471308794815, 0.3231264433950332, 0.3420388435170187]","[0.2447728277234399, 0.12179403084222892, 0.6334331414343312]",,
41,S0,lateral_ssh,microseg_acl,-14.187477145314663,10.595386002425176,0.0,4.364280479806322,4.222780122083713,2.028531124480929,0.465717873121854,1.2304220133532962,1,0,,"[0.3348330667630721, 0.32312902225663, 0.3420379109802979]","[0.24174925348638898, 0.1183063601552582, 0.6399443863583528]",,
42,S0,lateral_ssh,microseg_acl,-14.18747576658505,10.607701055248643,0.0,4.372870184318054,4.2227787433541,2.028530350177421,0.46571804299925823,1.230421522118228,1,0,,"[0.3348343994112166, 0.3231269405903544, 0.3420386599984291]","[0.23871711413898902, 0.11489827571275375, 0.6463846101482572]",,
43,S0,lateral_ssh,microseg_acl,-14.187476878642208,10.619830945518032,0.0,4.381320651651846,4.222779855411259,2.028530974656919,0.465717906097422,1.2304219183767149,1,0,,"[0.3348333208718268, 0.3231286209651072, 0.342038058163066]","[0.23567841133321216, 0.11156898918639799, 0.6527525994803899]",,
44,S0,lateral_ssh,microseg_acl,-14.187475981603486,10.631786992521779,0.0,4.3896455437110555,4.222778958372538,2.0285304709659817,0.46571801644057376,1.2304215987074187,1,0,,"[0.33483419360850686, 0.32312726448856033, 0.3420385419029329]","[0.23263509791247983, 0.10831766908868555, 0.6590472329988346]",,
45,S0,lateral_ssh,microseg_acl,-14.187476705253825,10.643558926489483,0.0,4.397833485325684,4.222779682022878,2.0285308772655,0.46571792749187696,1.2304218566090195,1,0,,"[0.33483348751404035, 0.32312835952538493, 0.34203815296057477]","[0.22958907279998195, 0.10514343739456276, 0.6652674898054552]",,
46,S0,lateral_ssh,microseg_acl,-14.187476121435857,10.655154235313104,0.0,4.405893547206793,4.222779098204909,2.028530549500848,0.46571799920321344,1.2304216485264452,1,0,,"[0.33483405870318556, 0.32312747552042137, 0.34203846577639313]","[0.22654218272631738, 0.10204537763431286, 0.6714124396393697]",,
47,S0,lateral_ssh,microseg_acl,-14.187476592472859,10.666566361167645,0.0,4.4138184873063375,4.22277956924191,2.028530813929893,0.4657179413821243,1.2304218164238176,1,0,,"[0.33483359670589985, 0.3231281891774259, 0.34203821411667423]","[0.22349621872988334, 0.09902253387920408, 0.6774812473909125]",,
48,S0,lateral_ssh,microseg_acl,-14.187476212406526,10.677800389783146,0.0,4.421614446344144,4.22277918917558,2.028530600583554,0.4657179880084723,1.2304216809433473,1,0,,"[0.3348339703392594, 0.3231276130314043, 0.34203841662933626]","[0.22045291723420896, 0.0960739168207063, 0.6834731659450847]",,
49,S0,lateral_ssh,microseg_acl,-14.187476519088786,10.688852280037944,0.0,4.429276942876265,4.2227794958578375,2.0285307727260715,0.46571795040569575,1.2304217902715802,1,0,,"[0.3348336682031296, 0.3231280781708911, 0.3420382536259792]","[0.2174139577246357, 0.09319850416955949, 0.6893875381058048]",,
50,S0,lateral_ssh,microseg_acl,-14.187476271608277,10.699725638944123,0.0,4.436810264661665,4.222779248377329,2.0285306338216436,0.46571798073404214,1.230421702043028,1,0,,"[0.3348339124979222, 0.3231277026441188, 0.34203838485795895]","[0.21438096348811153, 0.09039524542136623, 0.6952237910905222]",,
51,S0,lateral_ssh,microseg_acl,-14.187476471325159,10.710418153610327,0.0,4.444211789124465,4.222779448094212,2.028530745911733,0.4657179562707451,1.2304217732472327,1,0,,"[0.33483371499035897, 0.32312800582732293, 0.3420382791823181]","[0.211355500161563, 0.08766306306992705, 0.70098143676851]",,
52,S0,lateral_ssh,microseg_acl,-14.18747631014617,10.720932546202269,0.0,4.451484647493191,4.22277928691522,2.028530655455217,0.4657179760047857,1.2304217157799886,1,0,,"[0.3348338746570776, 0.32312776104760266, 0.34203836429531975]","[0.20833907633339863, 0.0850008564904741, 0.7066600671761273]",,
53,S0,lateral_ssh,microseg_acl,-14.187476440229169,10.73126770886503,0.0,4.458627481342662,4.222779416998219,2.0285307284568317,0.4657179600845558,1.2304217621622613,1,0,,"[0.3348337455918818, 0.3231279586769104, 0.34203829573120786]","[0.20533314274853087, 0.08240750358976948, 0.7122593536616997]",,
54,S0,lateral_ssh,microseg_acl,-14.187476335238728,10.741425858034486,0.0,4.465642713787424,4.222779312007778,2.0285306695394283,0.46571797292892064,1.2304217247254046,1,0,,"[0.33483384991262366, 0.3231277991138073, 0.34203835097356905]","[0.2023390928937695, 0.07988186407193737, 0.7177790430342932]",,
55,S0,lateral_ssh,microseg_acl,-14.187476419979975,10.75140674092021,0.0,4.472529856265053,4.222779396749026,2.0285307170917704,0.4657179625654848,1.2304217549430967,1,0,,"[0.33483376559828043, 0.32312792794422857, 0.34203830645749106]","[0.19935826270532284, 0.07742278128785292, 0.7232189560068243]",,
56,S0,lateral_ssh,microseg_acl,-14.187476351580196,10.761212307475933,0.0,4.479290910609094,4.22277932834925,2.028530678710781,0.46571797092768824,1.2304217305516976,1,0,,"[0.3348338337385474, 0.323127823926143, 0.34203834233530966]","[0.1963919312085444, 0.07502908504628787, 0.7285789837451677]",,
57,S0,lateral_ssh,microseg_acl,-14.18747640679152,10.770842923305922,0.0,4.485925994847209,4.222779383560573,2.028530709690338,0.46571796417989647,1.2304217502407426,1,0,,"[0.3348337786730075, 0.32312790791147333, 0.3420383134155191]","[0.1934413206150811, 0.07269959351385331, 0.7338590858710656]",,
58,S0,lateral_ssh,microseg_acl,-14.187476362224427,10.780300420148013,0.0,4.492436871168137,4.222779338993481,2.0285306846841236,0.4657179696252347,1.230421734347072,1,0,,"[0.33483382317010035, 0.32312784010020623, 0.3420383367296934]","[0.19050759705320758, 0.07043311567182996, 0.7390592872749625]",,
59,S0,lateral_ssh,microseg_acl,-14.187476398200374,10.789585619621555,0.0,4.498824086708394,4.2227793749694245,2.0285307048693406,0.4657179652307426,1.2304217471773051,1,0,,"[0.3348337872149712, 0.32312789485269294, 0.3420383179323359]","[0.18759187096996213, 0.06822845317441263, 0.7441796758556253]",,
