def_strategy,mu,attack_mode,n_attackers,n_targets,resp_time_ms_mean,resp_time_ms_p95,load_time_ms_mean,load_time_ms_p95,ASSC_ms_mean,AIC_ms_mean,NC_ms_mean,cost_total_ms_mean
GD2,200,static,3,2,462.474106610274,462.474106610274,481.187053305137,481.187053305137,240.0,175.0,167.41378019108924,1030.061159915411
GD3,200,dynamic,2,3,435.08875566805165,435.08875566805165,455.99771116735917,455.99771116735917,240.0,175.0,167.41378019108924,957.3264668354109
GD1,200,dynamic,2,2,463.33398636762087,463.33398636762087,490.84699318381047,490.84699318381047,240.0,175.0,167.41378019108924,1053.5409795514313
GD1,200,static,3,3,422.003359316004,422.003359316004,440.301679658002,440.301679658002,240.0,175.0,167.41378019108924,919.9050389740061
GD3,200,static,1,1,537.9244442582159,546.81275698049,555.8622221291079,560.3063784902449,240.0,175.0,167.41378019108924,1266.5866663873237
GD1,200,static,1,1,532.277613999194,532.277613999194,553.038806999597,553.038806999597,240.0,175.0,167.41378019108924,1258.116420998791
GD2,200,static,3,1,572.8145720349496,576.8794262566691,598.3072860174748,600.3397131283344,240.0,175.0,167.41378019108924,1343.9218580524243
GD1,200,dynamic,2,1,595.9590117890062,597.3053432993971,619.3395058945032,620.0126716496986,240.0,175.0,167.41378019108924,1414.0185176835093
GD1,200,static,3,1,579.2898301007226,579.2898301007226,601.5449150503613,601.5449150503613,240.0,175.0,167.41378019108924,1353.634745151084
GD1,400,static,1,1,808.3792532727603,819.3367112105567,849.0896266363801,854.5683556052783,240.0,175.0,167.41378019108924,1830.2688799091404
GD3,400,static,3,1,857.5089113622238,867.837978285837,898.6544556811118,903.8189891429184,240.0,175.0,167.41378019108924,1928.9633670433357
GD2,400,dynamic,2,1,907.5579470150909,907.5579470150909,946.6389735075454,946.6389735075454,240.0,175.0,167.41378019108924,2052.9169205226362
GD3,400,static,1,1,821.1276415969264,824.3144431887738,855.4638207984631,857.0572215943869,240.0,175.0,167.41378019108924,1849.3914623953895
GD1,400,static,3,1,857.1909007274818,862.1705143981466,898.4954503637409,900.9852571990733,240.0,175.0,167.41378019108924,1928.4863510912228
GD2,400,static,1,1,804.6506288528681,804.6506288528681,847.225314426434,847.225314426434,240.0,175.0,167.41378019108924,1824.6759432793021
